date,symbol,open,high,low,close,volume,vwap
2024-07-23 04:00:00+00:00,AAPL,222.44,224.98,220.77,222.99,465219,223.2
2024-07-24 04:00:00+00:00,AAPL,222.19,222.83,215.3,216.71,1005989,217.03
2024-07-25 04:00:00+00:00,AAPL,217.0,218.91,212.8,215.55,642703,216.15
2024-07-26 04:00:00+00:00,AAPL,217.06,217.6,214.18,216.16,661067,215.89
2024-07-29 04:00:00+00:00,AAPL,215.51,217.4,213.94,216.31,381966,216.35
2024-07-30 04:00:00+00:00,AAPL,217.42,218.38,214.26,216.8,559407,216.39
2024-07-31 04:00:00+00:00,AAPL,219.62,221.89,219.01,220.27,549326,220.45
2024-08-01 04:00:00+00:00,AAPL,222.41,222.47,215.17,216.63,1321543,217.73
2024-08-02 04:00:00+00:00,AAPL,217.18,223.63,215.9,217.92,2263645,220.46
2024-08-05 04:00:00+00:00,AAPL,197.45,211.62,194.32,207.43,2582819,206.1
2024-08-06 04:00:00+00:00,AAPL,203.62,208.18,199.37,205.36,1429961,204.95
2024-08-07 04:00:00+00:00,AAPL,205.12,211.79,204.68,208.01,724474,209.48
2024-08-08 04:00:00+00:00,AAPL,211.26,212.36,207.12,211.52,838953,210.85
2024-08-09 04:00:00+00:00,AAPL,210.24,214.88,210.17,214.3,911230,213.22
2024-08-12 04:00:00+00:00,AAPL,214.46,217.87,214.03,215.98,564185,215.94
2024-08-13 04:00:00+00:00,AAPL,217.55,220.22,217.55,219.56,589109,219.29
2024-08-14 04:00:00+00:00,AAPL,218.87,221.34,218.07,219.98,620996,219.83
2024-08-15 04:00:00+00:00,AAPL,222.93,223.67,221.14,223.02,720255,222.88
2024-08-16 04:00:00+00:00,AAPL,222.31,225.11,222.01,224.38,459595,223.71
2024-08-19 04:00:00+00:00,AAPL,223.89,224.25,221.41,224.14,637982,222.86
2024-08-20 04:00:00+00:00,AAPL,224.15,225.47,223.84,224.84,518769,224.83
2024-08-21 04:00:00+00:00,AAPL,224.89,226.27,223.56,224.64,576993,224.71
2024-08-22 04:00:00+00:00,AAPL,225.9,226.62,222.24,223.03,750261,224.03
2024-08-23 04:00:00+00:00,AAPL,224.28,226.52,222.69,225.11,746287,224.92
2024-08-26 04:00:00+00:00,AAPL,225.06,225.58,222.26,225.55,537463,224.02
2024-08-27 04:00:00+00:00,AAPL,224.31,227.14,223.26,226.43,580021,226.02
2024-08-28 04:00:00+00:00,AAPL,226.33,228.14,224.06,224.71,666448,225.91
2024-08-29 04:00:00+00:00,AAPL,228.39,231.19,227.19,228.12,962928,229.58
2024-08-30 04:00:00+00:00,AAPL,228.52,228.67,225.81,227.18,732245,227.0
2024-09-03 04:00:00+00:00,AAPL,226.89,227.3,219.59,221.06,893528,221.93
2024-09-04 04:00:00+00:00,AAPL,220.07,220.1,215.87,219.09,1276056,217.98
2024-09-05 04:00:00+00:00,AAPL,219.99,223.79,219.99,220.64,666252,221.57
2024-09-06 04:00:00+00:00,AAPL,222.27,223.55,218.19,219.31,1049899,220.49
2024-09-09 04:00:00+00:00,AAPL,219.39,219.59,215.11,219.31,1606171,217.47
2024-09-10 04:00:00+00:00,AAPL,217.23,219.81,215.17,218.46,957648,217.74
2024-09-11 04:00:00+00:00,AAPL,219.64,221.41,216.29,220.9,844135,219.17
2024-09-12 04:00:00+00:00,AAPL,220.74,221.87,218.2,221.19,677459,220.62
2024-09-13 04:00:00+00:00,AAPL,222.12,222.33,220.35,220.77,637521,221.29
2024-09-16 04:00:00+00:00,AAPL,214.99,215.58,212.35,214.85,1439907,214.15
2024-09-17 04:00:00+00:00,AAPL,214.14,215.28,212.9,215.24,949661,214.48
2024-09-18 04:00:00+00:00,AAPL,215.93,220.97,215.93,219.19,1204282,218.85
2024-09-19 04:00:00+00:00,AAPL,223.42,228.09,222.98,227.2,2617911,226.98
2024-09-20 04:00:00+00:00,AAPL,228.27,231.34,225.99,226.83,3617727,229.12
2024-09-23 04:00:00+00:00,AAPL,225.49,227.73,224.17,224.8,1013326,225.43
2024-09-24 04:00:00+00:00,AAPL,226.94,227.63,224.07,225.77,716012,225.43
2024-09-25 04:00:00+00:00,AAPL,223.32,225.57,222.35,224.68,917606,223.91
2024-09-26 04:00:00+00:00,AAPL,225.88,226.75,223.84,225.97,876871,225.54
2024-09-27 04:00:00+00:00,AAPL,226.87,227.79,225.61,226.04,718703,226.54
2024-09-30 04:00:00+00:00,AAPL,228.33,231.27,227.97,231.12,929770,230.07
2024-10-01 04:00:00+00:00,AAPL,227.81,227.87,222.09,224.52,1491424,223.98
