ticker,name,sector,cap_tier,avg_volume,exchange
TJX,"TJX Companies, Inc. (The)",Consumer Cyclical,Large-Cap,5694406,NYQ
SCHW,Charles Schwab Corporation (The,Financial Services,Large-Cap,11765472,NYQ
TTE,TotalEnergies SE,Energy,Large-Cap,1625896,NYQ
DIS,Walt Disney Company (The),Communication Services,Large-Cap,9465404,NYQ
UNP,Union Pacific Corporation,Industrials,Large-Cap,2972482,NYQ
UBS,UBS Group AG Registered,Financial Services,Large-Cap,2268654,NYQ
WELL,Welltower Inc.,Real Estate,Large-Cap,3416427,NYQ
ABT,Abbott Laboratories,Healthcare,Large-Cap,13232345,NYQ
ETN,"Eaton Corporation, PLC",Industrials,Large-Cap,2607561,NYQ
IBKR,"Interactive Brokers Group, Inc.",Financial Services,Large-Cap,4996585,NMS
SHOP,Shopify Inc.,Technology,Large-Cap,10288603,NMS
GILD,"Gilead Sciences, Inc.",Healthcare,Large-Cap,7183698,NMS
BUD,Anheuser-Busch Inbev SA Sponsor,Consumer Defensive,Large-Cap,2005422,NYQ
SMFG,Sumitomo Mitsui Financial Group,Financial Services,Large-Cap,2018556,NYQ
RIO,Rio Tinto Plc,Basic Materials,Large-Cap,2557258,NYQ
UBER,"Uber Technologies, Inc.",Technology,Large-Cap,19326019,NYQ
BX,Blackstone Inc.,Financial Services,Large-Cap,5657459,NYQ
ISRG,"Intuitive Surgical, Inc.",Healthcare,Large-Cap,2402158,NMS
T,AT&T Inc.,Communication Services,Large-Cap,48352362,NYQ
BKNG,Booking Holdings Inc. Common St,Consumer Cyclical,Large-Cap,7975372,NMS
SCCO,Southern Copper Corporation,Basic Materials,Large-Cap,1399127,NYQ
BBVA,Banco Bilbao Vizcaya Argentaria,Financial Services,Large-Cap,1678346,NYQ
DHR,Danaher Corporation,Healthcare,Large-Cap,4605633,NYQ
CB,Chubb Limited,Financial Services,Large-Cap,1651574,NYQ
PFE,"Pfizer, Inc.",Healthcare,Large-Cap,39649445,NYQ
CRM,"Salesforce, Inc.",Technology,Large-Cap,15299443,NYQ
