date,symbol,open,high,low,close,volume,vwap,stock_return,benchmark_return,relative_return,robust_z,streak_depth,turn_of_month,seasonality_sin,seasonality_cos,volatility_context,market_regime,dollar_volume,liquidity_context,intraday_range_pct,ticker_identity
2024-07-23 04:00:00+00:00,AAPL,222.44,224.98,220.77,222.99,465219,223.2,,,,0.0,0,False,-0.3754703786876202,-0.9268343944460494,,,103739184.81,,0.018879770393291088,515132770
2024-07-24 04:00:00+00:00,AAPL,222.19,222.83,215.3,216.71,1005989,217.03,-0.028162697878828635,-0.022538179935658098,-0.005624517943170537,0.0,1,False,-0.3913578365610259,-0.9202385798054075,,,218007876.19,160873530.5,0.03474689677449126,515132770
2024-07-25 04:00:00+00:00,AAPL,217.0,218.91,212.8,215.55,642703,216.15,-0.005352775598726378,-0.005201732649857238,-0.00015104294886914005,0.0,2,False,-0.4071294853542516,-0.9133704517637858,0.2560407425732523,-0.013869956292757668,138534631.65,138534631.65,0.028346091394108024,515132770
2024-07-26 04:00:00+00:00,AAPL,217.06,217.6,214.18,216.16,661067,215.89,0.002829969844583502,0.011047307575296816,-0.008217337730713314,0.0,3,False,-0.4227806579826773,-0.9062320427107697,0.25496549543258235,-0.00556420167007284,142896242.72,140715437.185,0.015821613619541024,515132770
2024-07-29 04:00:00+00:00,AAPL,215.51,217.4,213.94,216.31,381966,216.35,0.0006939304219097941,0.0010343595433772723,-0.00034042912146747817,0.0,4,True,-0.46896519100763184,-0.8832166493127127,0.22550862188758355,-0.003914561366710312,82623065.46,138534631.65,0.015995561925015063,515132770
2024-07-30 04:00:00+00:00,AAPL,217.42,218.38,214.26,216.8,559407,216.39,0.002265267440247909,-0.005391899000526057,0.007657166440773966,0.0,0,True,-0.48408852163897587,-0.8750190302029955,0.20723102329767434,-0.004210028893473461,121279437.60000001,129907034.625,0.01900369003690039,515132770
2024-07-31 04:00:00+00:00,AAPL,219.62,221.89,219.01,220.27,549326,220.45,0.016005535055350517,0.015507829470542855,0.0004977055848076617,0.0,0,True,-0.4990686026885319,-0.8665624788845385,0.23208210602863769,-0.0009237191661374081,121000038.02000001,121279437.60000001,0.01307486266854313,515132770
2024-08-01 04:00:00+00:00,AAPL,222.41,222.47,215.17,216.63,1321543,217.73,-0.016525173650519864,-0.013076150440831769,-0.0034490232096880957,0.0,1,True,-0.5139010013093103,-0.8578494977869301,0.2291923622975256,-0.002659780776808031,286285860.09,129907034.625,0.03369801043253479,515132770
2024-08-02 04:00:00+00:00,AAPL,217.18,223.63,215.9,217.92,2263645,220.46,0.005954853898352042,-0.01888463785597161,0.02483949175432365,0.0,0,True,-0.5285813283559292,-0.8488826652214553,0.21947362560544997,-0.004687887911703478,493293518.4,138534631.65,0.03547173274596178,515132770
2024-08-05 04:00:00+00:00,AAPL,197.45,211.62,194.32,207.43,2582819,206.1,-0.04813693098384719,-0.029121924044797076,-0.019015006939050116,0.0,1,False,-0.5716666713027052,-0.8204859638785327,0.31580753879584117,-0.007402780815380545,535754145.17,140715437.185,0.08340162946536187,515132770
2024-08-06 04:00:00+00:00,AAPL,203.62,208.18,199.37,205.36,1429961,204.95,-0.009979270115219596,0.00902237787143112,-0.019001647986650716,0.0,2,False,-0.5856957398073508,-0.8105309990194823,0.2979424694608241,-0.005760264946699378,293656790.96000004,142896242.72,0.042900272691858206,515132770
2024-08-07 04:00:00+00:00,AAPL,205.12,211.79,204.68,208.01,724474,209.48,0.012904168289832318,-0.00656901386356068,0.019473182153393,0.0,0,False,-0.5995514915196489,-0.8003361849976323,0.2999044907500494,-0.005833787575504951,150697836.73999998,146797039.73,0.03418104898802935,515132770
